komentar;value
Setelah update versinya terbaru sekarang ada beberapa ngebug yang harus di perhatikan, 1.nge bug kadang-kadang ngak bisa nembak. 2.mic nya aktif tapi ngak ada suara. 3.ngak isa masuk pertempuran padahal jaringan nya ok² aja tidak ada masalah. Tolong di perhatikan bayak bug-bug yang terjadi setelah update versi terbaru??;5
Seru, tapi sebaiknya P U B G fokus pada gameplay realistis saja sebagai ciri khasnya, jangan latah mengikuti gameplay fantasi games lain. Mohon fix bug mobil, motor & boat tidak bersuara saat dikendarai, grafik bangunan yang telat memuat saat baru saja mendarat, d l l , semua bugs. Bantu kami mendapatkan setting sensitivitas A D S terbaik untuk perangkat kami masing-masing secara otomatis demi pengalaman game yang lebih baik. Thanks...;3
Event nya selalu low respon padahal tidak ada masalah jaringan ,device saya juga mendukung tapi tetap hasilnya tidak ada beda ,tolong diperbaiki, saya mengeluarkan uang untuk game ini!. Sebaiknya event yang menambahkan karakter atau icon (bangunan) pada map di hapus saja karena ini mengganggu keaslian map dan tetap menimbulkan problem. Device tidak menentukan permainan bagus!;1
Setiap saya bermain di maps event , di update an versi berapapun atau terbaru pubg mobile, kenapa karakter selalu jalan lambat dan yang parah lagi sering tidak terlihat bangunan2 di sekitar saat turun akan looting , dan itu membuat saya kesal terhadap game ini ,kalau bisa di perbaiki secepatnya;1
Parah banget update patch ini.. Pengalaman bermain tak semenarik biasanya. Dan display gamenya semakin berat mempengaruhi gerak didalam game nya. Padahal main sidah pake Wi-Fi tp ya tetap saja timbul kualitas grafis dan ping tidak begitu stabil!;2
Saya suka game ini,tapi Saya sarankan agar loby nya dikembalikan seperti dulu,tombol start nya di bagian atas.dan yang terkahir adalah grafik nya dibuat seperti pubg lite.grafik nya sedikit gelap dan lebih berwarna.dan dibuat lebih seru lagi.;4
sangat mengecewakan setelah update ke versi 0.12.0, banyak keluhan, lag dan bug di mana mana, padahal device yang aku pake vivo v11 pro, tolong di fix pihak dev, klo terus2 san begini player pubgm lama lama akan hilang, tolong secepatnya di fix, bug dan lag, terima kasih;4
Terima kasih karena telah memperbaiki sytem matching playernya, aku kasih full bintang??????, tapi saya memiliki satu saran, kalau bisa mode malam dikembalikan ke dalam gameplay, banyak player yang merindukan pubg versi lama(fitur² realistis) seperti mode malam, Aurora vikendi, dll. Saya juga sebagai player sangat merindukan hal tersebut, jadi saran saya kalau bisa adakan kembali fitur² tersebut. Sekali lagi terima kasih atas responnya??;5
Setelah updet langsung masalah bertambah semakin bertambah semakin kesini Bug berat lag berat sampah ,tiba tiba mati tiba tiba depan mata ada musuh gk bisa nembak lngsung mati langsung logout,koneksi 5G wifi kenceng sama aja sampah. Dan semakin parah bug lag.sampah sampah sampah,tidak ada perbaikan apapun yg penting updet masalah nambah banyak, game sampah. Tambah parah bug tambah edan;1
Update 28 udah bagus tapi saya sering mengalami bug tidak bisa berlari dan bug layar jdi hitam ,bug tersebut sangat mengganggu game play saya, ketika saya mengalami bug tersebut saya akan keluar agar menghindari bug tersebut tetapi point saya jadi minus, tolong dong hilangkan bug tersebut, ga mood main klo mengalami bug tersebut, tolong lah developer;2
Sudah agak membaik game ini. Sedikit demi sedikit beberapa masalah yang saya keluhankan selama ini mulai diperbaiki. Terus tingkatkan kualitas permainan ini untuk handphone kelas mid-end ya. Satu lagi permintaan saya, tolong di event pesawat respaw terbangnya jangan terlalu lambat, terlalu lama menunggu & sangat kesulitan jika ingin membantu tim. Player belum sampai teman tim keburu mati. Terimakasih ??????;4
Kepaksa deh saya turunin dulu jadi bintang 3. Masalah nya itu sebelum update 2.8, saya selalu main pake kuota data dan itu lancar lancar ajah. Tapi semenjak update 2.8, setiap maen pake data, selalu ajah game nya jadi patah patah, temen open mic suara nya putus putus dan ngelag. Tolong segera di perbaiki karena bener bener mengurangi kenyamanan bermain. Update rating jadi 5. Sekarang masalah sinyal ketika pake data sudah selesai. Terima Kasih;5
"Pubgi sekarang terlalu berat ,terlalu banyak event dan terlalu berat di penyimpanan sampe"" pengguna Hp di ram 3Gb/4Gb susah untuk bermain secara normal ,tolonglah tencent beri kami ruang keringanan untuk pengguna hp kentang ,apalagi saat ada musuh framdrop nya gk main"" dan jaringan pun langsung jumping(naik turun) ,Kami rindu pubgi yang dlu, yang bisa di mainkan di smua android tanpa harus takut framdrop dan kendala ping yang naik turun saat bermain ??";2
Pubgm semakin ke depan semakin burik, smakin berat, smakin bnyak bug dan smakin bnyak perubahan, udah gak keliatan original lagi kayak season 2018 dan yg sebelumnya. Sekarang malah keliatan kayak game ff, dari skin senjata. Baju. Emoj. Dan karakter terbaru pun hampir serupa dg karakter2 di game ff.. Hadehh tlong dong buat para tancent, jangan bikin perubahan yg menimbulkan banyak bug, dan bikin pubgm original kayak dulu lagi??;1
tolong untuk setiap update jangan semua harus update, dari skin sampai maps, jadi jika skin sudah terdownload pada sebelum nya pada update selanjutnya jangan tidak perlu mendownload lagi. ini hanya akan menguras banyak data. sediakan update hanya untuk item atau maps yang di rubah saja.;3
Saran min event nya kurang seru, kalo bisa event yg inti (yg bisa respawn) ditambahkan satu titik lagi untuk erangel, livik dan vikendi jadi player gak mati²an ngejar turun ke event klo jalur pesawatnya jauh dari event tersebut. Oya satu lagi min bangunan nya jgn terlalu padat/banyak tangga, itu aja dari saya terima kasih sebelumnya.;4
"Grafis hd TPI kadang masih ada kaya bug"" seperti delay klo ada step di sekita ada suaranya saja padahal player lain di belakang saya,terkadang juga bisa tida ber damage sama sekali pakai sniper jarak dekat 4 hit tidak knock,";3
Tolong perbaiki masalah jaringan, SISTEM TIDAK MERESPON, SILAKAN LOGIN KEMBALI. Setiap login pasti ada pemberitahuan seperti itu dan harus login kembali, setelah sudah login kembali SISTEM TIDAK MERESPON, SILAHKAN LOGIN KEMBALI :). Terimakasih.;1
Belum selesai masalah bug lama, setelah update malah nambah bug baru??. Saya beli attachment grip, setiap grip nya terjatuh atau terbuang di lantai, grip nya langsung hilang tak tau di mana....;3
Baik, sudah diberi bintang 5 tapi lebih jelek lagi server terputus saat dalam pertempuran, pada hal jaringan kita full koneksi internetnya, dan lebih parah lagi saat musuhnya tinggal 1 atau 2. Mau chiken mancat tiba-tiba terputus server. Buat kita bengkel aja;5
Setelah di update 2.9 kok blum jga di fix ya bugnya, masih ad beberapa masalah (force close tiba tiba, g bsa lari, bug gbisa jlan juga) tolonglah untuk di fix, menggangu banget.;2
Setiap up date maksa download 1 gb, berat coba kalo update event lama bisa ke ganti sendiri, gua main have fun, ini game udah gak seimbang sama event yang gak masuk akal, mending main breakout !!!;1
Sebelumnya masalah sinyal sekarang update yg terlalu sering bro, udh 2 hari ga maen udh update lagi walau kecil sih, tapi kan lama² jadi bukit bro belum lagi update 2 bulan sekali sampe 1,1 GB bahkan itu pun yg terkecil, kasian bro yg pake kuota atau user pencari wifi kayak gw susah mau update doang tapi ni game malah makin bermasalah, belum lagi masalah keamanan seperti player yg toxic atau tim yg ga support dll, ga diurusi yg bikin tambah males, mending balikin ke Tencent lagi aja bro;1
Kebanyakan bug,jaringan stabil masi ngeleg , matching ny terlalu lama, handphone saya tidak support gyro dan untuk lawan terkadang tidak seimbang dan juga skin tolong dong kolo kasi lawan yg seimbang sesuai dengan renk ny biar lebih seru;1
Dear develop, tolong perbaiki bug rto saat di room maupun in game.seperti saat in game di room tidak dapat mendengar ataupun berbicara dengan rekan tim. Padahal mic saat in game sudah aktif, bisa berkomunikasi dengan rekan tim saat in game tetapi hanya melalui mic all;4
Pubg sekarang kebanyakan sekin ga perbaiki masalah server atau jaringan tidak di perbaiki susah untuk di mainkan padahal sinyal ?? full tapi di in game sering terjadi drop sinyal langsung turun pikirkan lah sinyal nya perbaikin di in game nya sinyal HP saya bagus ram 8 GB internal 128 GB tapi di dalam permainan game atau sudah bertempur tiba tiba sinyal di in game drop sinyal ?? HP full perbaiki lah masalah tersebut Tencent saya turunin bintang karna bukti ril nya gitu.;1
Gamenya bagus tapi saya kasi bintang 4 karena ada bug yang saya alami beberapa kali, yaitu ketika turun dari parasut tidak dapat mengambil senjata tapi peluru atau perlengkapan yang lain bisa diambil hanya senjata yang tak bisa di ambil, mohon di perbaiki bug nya karena saya udah beberapa kali mengalaminya dan sangat mempengaruhi poin saya. Terimakasih;4
Saya seringkali mengalami bug,yaitu bug ketika saya menarik untuk lari tetapi kok malah jadi jalan,saya juga seringkali mengalami bug jaringan,karakter cacat dan tidak bisa berlari saat di map livik Sekian terimakasih semoga cepat di perbaiki bug nya;4
Selalu saja bug yang tak pernah hilang jalan nya lambat kaya keong. Bug yang tak pernah di perbaiki. Ping 64 ms lo tancent. Kenapa dari belum updet tidak perbaiki di metro royal. Sudah sering di lapor kan masalah nya di dalam game tpi tidak pernah di tanggapi. Saya kecewa sekali;1
Taloang di bales ya,ceritanya kan saya lagi gaca di peti klasik,abis tu saya kan punya 5 kupon,saya coba spin 1 di tombol kupon,bukan di tombol UC, ternyata kuponnya gak berkurang,terus saya coba lagi ternyata juga ga berkurang,di percobaan ke tiga juga,akhirnya saya terus spin sampai dapet hadiah utama,masalahnya yaitu setelah selesai gaca UC saya berkurang banyak,saya minta bug nya yang ini di perbaiki lah biar tidak terjadi lagi dan saya juga hampir nangis Lo gara gara bugnya ini,terima kasih;1
mending gk usah tambah ini itu.. gk usah ada event2. kita ingin permaian yg real. gk perlu hidup2 lagi atau di hidupin.. peta ini itu gk usah di tambah. arena terlalu banyak. cukup peta yg asli dan arena tdm. dan yang penting game ringan. gda keluhan. gk perlu ikut2 game lain. Bug bug bug bug bug dan bug;2
Kok bug nya keterlaluan ya min? Data udah di download semua, tapi karakter, equipment, kendaraan, semuanya grafiknya kek kotak² kek minecraft cuma kotak nya lebih kecil, pasang HDR extreme pun tetap sama, sampe ke langit pun kotak-kotak ??;1
Tolong untuk developer gamenya, habis update kenapa sering force close terus, sering terjadi di hp RAM 3 penyimpanan masih banyak, jaringan bagus.. tolong di perbaiki lagi ya????;1
Kembalikan pubg seperti awal dulu, sekarang sudah tidak jelas dan botnya serasa susah dilawan bukan seperti dulu. Sekarang sudah seperti game offline yang merugikan pemain dan demage senjata selalu delay (tembakan kena target tapi demagenya nyusul);1
Tolong lah perbaiki bug gak bisa lari nya. Setiap main di livik bug gak bisa lari teruss... Setiap turun pasti bug lgi dan lagi, udh relog tetep ja bug teruss... Mati konyol terus, Hp udh Ram 8+8 tetep ja bug gak bisa lari alias lambat ?????? udh ngerasaiin S2 terakhir ini tetep ja masalah di bug gak bisa lari.;2
Setelah update 2.9 ada bug dimana saat game play (tdm, battle royale, cheer park) tombol tidak bisa di tekan. Seperti berubah tempat tombolnya, mohon diperhatikan.;1
Apa ni kendala jaringan mulu. Padahal pakai wifi. Main dari season 4 makin update makin gak jelas. Masalah nya cuman 1 main yg lain jaringan bagus. Gililiran buka pubg jaringan tidak stabil. Tidak stabil dari mana nya cobak.?;1
maaf,mohon di respon & di tanggapi, di season terbaru 12 ini, saya masih sering mengalami lag, gerak macet macet disaat saat genting berhadapan dengan squad musuh, padahal server jaringan dalam kondisi hijau baik, memory handphone jg masih lega banget, saya jadi tidak bisa bermain dengan maksimal lag, gerak macet & patah2 masih sering dialami saat bertemu squad lawan dan saat pesawat airdrop lewat ini lumayan mengganggu mohon ada perbaikan;4
Skate board terbang nya gak bisa di setting tombol lompat sama maju nya, kerna denpet, dari awal nyari settingan nya gak ketemu ketemu juga, di pengaturan kendaraan juga gak ada...???, jadi gak seru main di even, tetap aja main yg biasa;5
Sering di update malah banyak masalah, bug dimana², baru mulai eh pas turun gak bisa lari hanya bisa jalan doang, tolong diperbaiki karena dulu gak ada bug beginian, kalo gak diperbaiki secepatnya maka pemain pubg pun akan semakin berkurang, karena saya kira hanya perangkat saya yang lemah ternyata banyak orang yang mengalami bug tersebut,mohon kerjasamanya diperbaiki sebaik mungkin!;1
Admin ini tolong di game nya di perbaiki, saya kurang tau juga antara bug atau memang fitur nya begi, kalo ada suara step musuh atau tembakan, Sura nya kebalik, misal nya step musuh nya dari kiri kedengaran nya di kanak, gitu jua sebaliknya, step nya di depan suara nya di belakang, tolong admin segera di perbaiki, karna ini sangat menggangu dan merugikan pemain, terima kasih.;2
Tolong perbaiki bug yg meresahkan jgn cuma sekedar update untuk event saja. Terutama bug sprint,dimana karakter gak bisa berlari . Sering bgt saya kena bug sprint low.udh tap sprint berasa jalan biasa;3
Saya sangat kecewa dengan pembaruan sekarang main di maps livik banyak bug nya 1 karakter jalan lambat ,harus rilok berulang kali klo ngga keluar game ,itu kan bisa mengakibatkan merit ,awal game keluar dari game karena nge bug ,tolong di perbaiki ya tencent;4
mengapa setiap terjun dari parasut tidak ada gambarnya atau menunggu sekian detik baru normal dan tidak bisa mengambil senjata langsung.dan setiap kali mau menembak selalu kalah setengah detik dari musuh...karna setiap saya open scop pasto agak lambat.terima kasih;3
gerafik nya bagus dari tampilan bagus saya sangat suka dekan game ini tapi ada yang harus perbaiki misalnya kalo ketemu musuh di depan selalu ga ke arah tolong perbaiki saran saya perbaiki kalo ketemu musuh kearah kaya di titik tengah perbaiki kalo ada musuh titik tengah selalu kearah musuh kalou tidak di keker;4
Seruu!! Tapi ada satu yang kurang... 90fps masih belum bisa dibuka di hape spek ram diatas 8 bahkan ram hape saya 12+8 + mediatech holio g99 masih belum bisa tebuka... Malahan cuma bisa sampai ultra!!.. Tolonglah pubg perbaiki masalah grafis statistik;5
Dari segi apapun sudah sangat bagus... Tapi dua hal yang harus diperhatikan.. Yaitu 1.server tiba tiba hilang padahal koneksi internet masih tersambung 2. Sering terjadi ngeclose (tiba tiba balik ke lobby setelah menaiki pesawat...;4
Semenjak update semakin banyak bug seperti. Fps tidak stabil dan diskonek tiba tiba. Musuh tidak nampak. Dan senjata tidak bisa di pegang. Semoga saja cepat di fix;5
GAME INI SERU BANGET, ada banyak mode, graphic oke, skin baju dan set bundle nya oke oke, senjatanya jg mantap, game yang selalu nemenin saya saat saya bosen, cocok untuk ngisi bosen karena bisa main bareng ber 4 sama teman teman.;5
Tolong pihak developer untuk memperbaiki bug kecepatan lari, sudah sering saya mengalami bug kecepatan lari. Padahal jaringanku sudah bagus tapi bug kecepatan lari sering terjadi pada saat di dalam game. Udah saya login berulang kali tapi bug kecepatan lari masih belum hilang. Mohon di perbaiki sekian dan terima kasih.;1
Tolonglah tencen kasi keringanan setidaknya bisa mendapat fps yg stabil walaupun berbeda device kemampuan smarpon dengan player lain . Agar tetap lancar saat memainkan gamenya Dan perbaiki masalah musu dengan reng kami yang selalu mendapatkan player Sultan musunya. Yg tidak seimbang. Dan masalah kupon klasik yang selalu mendapatkan item sampa. Setidaknya bisa mendapatkan dua atau tiga senjata yang bisa agred. Karna saya uda lama main di pubg dan selalu mendapatkan item sampa.;2
Setelah update banyak sekali bug bug seperti bug mic yg sudah on mic tapi tidak masu suara teman ataupun saya.tolong bug satu ini cepat di urus karena ini bug yg merugikan team. Entah ini dari sinyal atau dari game nya langsung;5
overall si udah bagus,cuma tolong untuk developer mohon di optimalkan lagi untuk semua perangkat yg sudah support 90 fps tapi untuk di pubg mobile masih belum terbuka secara keseluruhan;4
Saya sudah mencoba saran dari anda..dan tidak bekerja sama sekali...tidak berguna.. match matching tetap lama..apa yang harus saya lakukan agar mendapatkan musuh dalam waktu yang cepat??saya bermain di server emulator;1
"Kenapa selalu ngefream ga karuan saat lagi WAR di event yang baru ini...dan tau tau signal langsung down ping langsung naik ke 200an,padahal signal bagus""aja.. Tolong di perbaiki lah..jangan bikin Para player kecewa,dan lari ke lain hati. terimakasih";3
Semakin ke sini game ini semakin berat banget,, frmae drop ny parah ketika berhadapan dengan musuh, padahal memory hp saya masih legah,,tolong dong pihak PUBG di perbaiki masalah framedrop ini,, saya sangat suka dengan game PUBG ini saat main dari season 2;3
Pubg tolong perbaiki sistem ban , banyak player gunain apk tambahan tapi gak kena ban , adapun player mengunakan cheat speed boost tapi gak terdeteksi. Perbaiki juga bugnya karakter yg cacat dan gerakan melambat dlm pertandingan. Tolong sesuaiin rekan tim saat di matching tolong di samakan dgn region dan server.......;1
Dari 2020 sampe sekarang, baru kali ini nge bug parah, sampe gabisa masuk ke pubg nya, gabisa di pencet2 apapun, padahal kapasitas memori Oke, jaringan juga oke, tp kenapa nge bug parah sampe gabisa di mainin sama sekali? ??;2
Fakyou .kamu telah kembali kemenu utama.karna kamu terlalu lama mendiamkan layar.kecewa sekali saya game selama ini yang saya puji sangat bagus.sekarang ini game bukan bagus lagi.sering keluar sendiri .gak bisa gerak.lalu masuk lagi.loading lama sekali.tiba2 pas Udah masuk.itu jawabanya telah kembali kemenu utama .dasar game sampah.;1
Maaf sebelumnya... Buat Developer. Kami sangat menghargai dan sangat senang dengan pubg cmn tolong selesaikan dulu masalah Bug dlm game baru updatenya... Krn kita update trus tpi bug masih ada. Terimakasih????????????;3
lebih baik perbaiki fps nya, agar grafik stabil, dari pada mementingkan event di device poco f4 saya sering lag, tdk merespon, tiba2 keluar game. padahal mode daya performa sudh aktif, ini masalah bukan device nya tapi in game. sebelum bisa bikin game performa nya stabil, alangkah baiknya event nya di tiadakan dulu. jangan cuma mencari keuntungan in game nya aja, pentingin juga player nya, dan di play store mnta update tp di getapps mi tidak, tlong jelaskan lebih stabil yg mana?;5
Gameplay nya udh mantap, ada mode rank dan klasik nya juga, event nya tidak membosankan, tapi ada satu kekurangan, tolong tambahkan lagi hadiah untuk player f2p, harga top sangat mahal;5
Menurut saya gamesnya bagus Tampilan dan grafik nya bagus dah hd(mohon di pertahankan (100/100) Untuk bettel royal nya saya suka (80/100) Untuk event netral lah(50/100) Untuk penguduhan data gamenya bisa gak di jadi kan satu biyar mudah(Saya dah unduh data game nya terus buka shop unduh lagi buat skin senjata dan bajunya event juga gitu)(60/100) Komplain saya pada game ini yaitu saya kan masuk server asia setiap jam 22.00 keatas selalu server tidak merespon dan pas saya main paginya aman;5
Game nya bagus cuma tiap kali bertemu musuh udh nembak kepala harusnya musuh mati dong tapi kok kebalikan plus nya tolong aku main kok pasti dapat musuh yang pro player kasih musuh yang seimbang lah satu lagi kenapa setiap main pasti ada jaringan leg padahal jaringan nya bagus bagus aja 300 mb tpi biasa nya kok keluar mulu jadi saran ku itu aja dan jangan lupa di perbaiki ydh segitu aja assalamu'alaikum;3
Saya main dari season 2 , tapi entah kenapa di akhir ini bnyk yg aneh, saya ganti hp poco F 5 , setelah itu saya setiap login mau main kontrol ny semua berubah , letak map ny , scop loncat pick ny . Poko ny setiap login lah berubah trus . Tolong di perbaiki itu bos ku .;5
Semakin banyak yang harus di download. Ada sekitar 7GB lebih file yg harus di download dan itu memakan waktu yang sangat panjang. Semakin sering lag untuk jenis handphone mid range.;3
Intinya frame drop parah, udah pake SD 8gen 1 lo ini, msih aja parah frame drop nya. Udah pake kipas juga hp gak terlalu panas. Nyari untung apa lagi skrng nih game tanpa ada perbaikan.;1
Di hp saya masih banyak bug² meresahkan, seperti tidak bisa lari, layar menjadi gelap, musuh bisa menghilang tolong pihak Tencent untuk mengfix bug² yang meresahkan, terimkasih;2
"gamenya sudah bagus tapiii di saat matchching itu lawannya tidak adil, saya heran kenapa setiap game battle royal pasti ini aja penyakitnya, kenapa tidak bisa di setarakan dengan rank saja, saya diamond bermain solo kedapatan musuh rank ""ace"" itu bagaimana? sangat tidak masuk akal dan itu sudah saya jumpai berkali kali dan saya sudah melapor ke dalam gamenya dan tanggapan yang di berikan sangat aneh dan tidak membantu sama sekali jadi tolong dalam hal ini, di perbaiki saya juga ingin naik rank??";1
Semakin update semakin tidak jelas dan bug yg tidak kunjung diperbaiki, masalah jaringan lah, frame parah lah, makin berat makin g asik lagi sekarang pubg g kayak dulu lagi masih rame yg main, good bye PUBG;1
"Hei aku baru mainkan masih ada tower recall nah pas aku udah recall temen aku saat selanjutnya(udah mati mulai baru)nah itu udah ga ada kan jadi gabisa recall lagi itu kayak gimana aku kan jadi sendiri gampang mati lain kali betulin itu biar sepuasnya atau alasannya ""nanti musuh bisa recall lagi dan nanti gabisa menang""iya itu bener tapi kasih 3 kesempatan untuk recall temen biar menang kan kalo aku yang mati yang susah aku udah naikin ke gold malah turun kesilver Lagi naikin lagi turun lagi";3
Setelah Berganti device, bug cukup berkurang (game gak ramah buat hp low end), tapi tetap saja ada beberapa bug contohnya saat kita mau landing kadang pas sampai atap terpental dan knock, Sudah Pakai WiFi main game lain seperti mobile legend bisa sampai 9ms tetapi di pubg mobile cuman sampai 20-35ms padahal sudah memakai server asia, dan juga kerap bertemu Cheater pada rank Platinum -ace, setelah naik ke ace dominator sudsh berkurang banyak tpi tetap saja kesal karena bertemu cheater di rank;1
Untuk hadiah2 yang diberikan Kalau bisa cukup tema tembak2an saja, g usah dgn tema agama tertentu...lalu kalau bisa item ny bisa di hapus... Soalny item yg didapatkan belum tentu disukai... Jadi bikin menu supaya item bisa dihapus;3
Makin lama makin ancur..patch terbaru main makin berat..gerakan kayak gk seperti biasa nya..ngelag..ping gak stabil..step gak kedengaran tau2 mati aja ama musuh d depan..event terus tp kepuasan bermain player di acuh kan..tiap log in pasti ada yg di download tp sama aja bug dimana mana..;1
Tolong kepada develop pubg mobile, untuk pengguna yg menggunakan bug yg merugikan org lain langsung diblok aja dari awal masa iya menunggu laporan dulu, pengecut skali, kalo emg skill gamumpuni uda gausah main, cari game yg lain, tolol dipelihara... Pengecut banget sih yg main pakai² bug, kita yg kesel tau gasih... Tolong untuk developer... Diperbaiki sgala keadaannya..;1
Saran saya untuk mengemat memori penyimpanan, alangkah baiknya baju yg semakin banyak setiap gaca itu bisa di tukar dengan fragmen. Jadi memori penyimpanan lebih hemat, sekarang aplikasi pubg ini saja sudah mencapai 15gb lebih.. Kasian pemain yg mungkin ram hp nya cm sampe 4gb.. Mohon solusinya, krn skin baju banyak pun gak bnyak yg bisa d pakai atau kurang menarik bagi pemain termasuk saya.. Kurangnya minat pemain krn game pubg sudah makin besar ram yg di butuhkan..;1
Nge bug nya makin parah, bug nga bisa nembak, bug nga bisa ganti senjata dan bug saat di mobil nga bisa keluar Padahal jaringan baik Di perbaikan lah bug yg sangat menganggu Pada hal update terbaru makin nga nyaman saat bermain;1
