komentar;value;clean_text;sentiment;sentiment_label
Game nya sudah bagus, tetapi tolong di buat lebih stabil lagi. Karna kalau bertemu musuh yang banyak di suatu tempat suka frame bahkan DC/keluar dari game.. Apa lagi untuk device android, walaupun device sudah mumpuni tetapi masih suka frame drop, dengan jaringan yang sudah bagus.;3;game nya bagus tolong stabil karna bertemu musuh suka frame dckeluar game device android device mumpuni suka frame drop jaringan bagus;-2732;netral
Baik, sudah diberi bintang 5 tapi lebih jelek lagi server terputus saat dalam pertempuran, pada hal jaringan kita full koneksi internetnya, dan lebih parah lagi saat musuhnya tinggal 1 atau 2. Mau chiken mancat tiba-tiba terputus server. Buat kita bengkel aja;5;bintang 5 jelek server terputus pertempuran jaringan full koneksi internetnya parah musuhnya tinggal 1 2 chiken mancat tibatiba terputus server bengkel aja;0;netral
"Grafis hd TPI kadang masih ada kaya bug"" seperti delay klo ada step di sekita ada suaranya saja padahal player lain di belakang saya,terkadang juga bisa tida ber damage sama sekali pakai sniper jarak dekat 4 hit tidak knock,";3;grafis hd tpi kadang kaya bug delay klo step sekita suaranya player sayaterkadang tida ber damage pakai sniper jarak 4 hit knock;-6705;negatif
"Pubg sekarang sangat membosankan Di karenakan banyak sekali yg harus di download dan bug""nya di pubg tidak di perbaiki makin banyak Percuma kalau di sebut intinya sering bug dan sering kayak bot kalo di paksa lari tidak bisa, meskipun sudah kita reload berulang"" supaya tidak bug lari lambat tapi sama saja tidak bisa";1;pubg membosankan karenakan download bugnya pubg perbaiki intinya bug kayak bot kalo paksa lari reload berulang bug lari lambat;0;netral
Ini game nya kok ngebug nya selalu layarnya hitam,dan karakternya jalannya cacat kalo jalan itu lambat gak kayak biasanya tolong ya di perbaiki lagi karena ini sangat menggangu tolong segera di tangani ya saya malas bermain kalau begitu lagi.;1;game nya ngebug nya layarnya hitamdan karakternya jalannya cacat kalo jalan lambat gak kayak tolong ya perbaiki menggangu tolong tangani ya malas bermain;0;netral
Selalu saja bug yang tak pernah hilang jalan nya lambat kaya keong. Bug yang tak pernah di perbaiki. Ping 64 ms lo tancent. Kenapa dari belum updet tidak perbaiki di metro royal. Sudah sering di lapor kan masalah nya di dalam game tpi tidak pernah di tanggapi. Saya kecewa sekali;1;bug hilang jalan nya lambat kaya keong bug perbaiki ping 64 ms lo tancent updet perbaiki metro royal lapor nya game tpi tanggapi kecewa;0;netral
Saran min event nya kurang seru, kalo bisa event yg inti (yg bisa respawn) ditambahkan satu titik lagi untuk erangel, livik dan vikendi jadi player gak mati²an ngejar turun ke event klo jalur pesawatnya jauh dari event tersebut. Oya satu lagi min bangunan nya jgn terlalu padat/banyak tangga, itu aja dari saya terima kasih sebelumnya.;4;saran min event nya seru kalo event inti respawn titik erangel livik vikendi player gak mati²an ngejar turun event klo jalur pesawatnya event oya min bangunan nya jgn padatbanyak tangga aja terima kasih;0;netral
Belum selesai masalah bug lama, setelah update malah nambah bug baru??. Saya beli attachment grip, setiap grip nya terjatuh atau terbuang di lantai, grip nya langsung hilang tak tau di mana....;3;selesai bug update nambah bug beli attachment grip grip nya terjatuh terbuang lantai grip nya langsung hilang tau;296;positif
Setelah updet langsung masalah bertambah semakin bertambah semakin kesini Bug berat lag berat sampah ,tiba tiba mati tiba tiba depan mata ada musuh gk bisa nembak lngsung mati langsung logout,koneksi 5G wifi kenceng sama aja sampah. Dan semakin parah bug lag.sampah sampah sampah,tidak ada perbaikan apapun yg penting updet masalah nambah banyak, game sampah. Tambah parah bug tambah edan;1;updet langsung bertambah bertambah kesini bug berat lag berat sampah mati mata musuh nembak lngsung mati langsung logoutkoneksi 5g wifi kenceng aja sampah parah bug lagsampah sampah sampahtidak perbaikan apapun updet nambah game sampah parah bug edan;-34;negatif
"di update kali ini parah banget sinyal sama jaringan bagus tapi pas di in game apa lagi saat rush ke musuh tiba"" ping tinggi ditambah lag yg ga tau apa sebabnya, pokoknya parah banget deh, pliss lah di perbaiki masalah sinyal ini sumpah ganggu banget";1;update kali parah banget sinyal jaringan bagus pas in game rush musuh ping ditambah lag ga tau pokoknya parah banget deh pliss perbaiki sinyal sumpah ganggu banget;-34;negatif
Sudah agak membaik game ini. Sedikit demi sedikit beberapa masalah yang saya keluhankan selama ini mulai diperbaiki. Terus tingkatkan kualitas permainan ini untuk handphone kelas mid-end ya. Satu lagi permintaan saya, tolong di event pesawat respaw terbangnya jangan terlalu lambat, terlalu lama menunggu & sangat kesulitan jika ingin membantu tim. Player belum sampai teman tim keburu mati. Terimakasih ??????;4;membaik game keluhankan diperbaiki tingkatkan kualitas permainan handphone kelas midend ya permintaan tolong event pesawat respaw terbangnya lambat menunggu kesulitan membantu tim player teman tim keburu mati terimakasih;0;netral
Seru, tapi sebaiknya P U B G fokus pada gameplay realistis saja sebagai ciri khasnya, jangan latah mengikuti gameplay fantasi games lain. Mohon fix bug mobil, motor & boat tidak bersuara saat dikendarai, grafik bangunan yang telat memuat saat baru saja mendarat, d l l , semua bugs. Bantu kami mendapatkan setting sensitivitas A D S terbaik untuk perangkat kami masing-masing secara otomatis demi pengalaman game yang lebih baik. Thanks...;3;seru p u b g fokus gameplay realistis ciri khasnya latah mengikuti gameplay fantasi games mohon fix bug mobil motor boat bersuara dikendarai grafik bangunan telat memuat mendarat d l l bugs bantu setting sensitivitas a d s terbaik perangkat masingmasing otomatis pengalaman game thanks;4404;positif
Tolong perbaiki masalah jaringan, SISTEM TIDAK MERESPON, SILAKAN LOGIN KEMBALI. Setiap login pasti ada pemberitahuan seperti itu dan harus login kembali, setelah sudah login kembali SISTEM TIDAK MERESPON, SILAHKAN LOGIN KEMBALI :). Terimakasih.;1;tolong perbaiki jaringan sistem merespon silakan login login pemberitahuan login login sistem merespon silahkan login terimakasih;0;netral
Terima kasih karena telah memperbaiki sytem matching playernya, aku kasih full bintang??????, tapi saya memiliki satu saran, kalau bisa mode malam dikembalikan ke dalam gameplay, banyak player yang merindukan pubg versi lama(fitur² realistis) seperti mode malam, Aurora vikendi, dll. Saya juga sebagai player sangat merindukan hal tersebut, jadi saran saya kalau bisa adakan kembali fitur² tersebut. Sekali lagi terima kasih atas responnya??;5;terima kasih memperbaiki sytem matching playernya kasih full bintang memiliki saran mode malam dikembalikan gameplay player merindukan pubg versi lamafitur² realistis mode malam aurora vikendi dll player merindukan saran adakan fitur² terima kasih responnya;0;netral
Setiap saya bermain di maps event , di update an versi berapapun atau terbaru pubg mobile, kenapa karakter selalu jalan lambat dan yang parah lagi sering tidak terlihat bangunan2 di sekitar saat turun akan looting , dan itu membuat saya kesal terhadap game ini ,kalau bisa di perbaiki secepatnya;1;bermain maps event update an versi terbaru pubg mobile karakter jalan lambat parah bangunan2 turun looting kesal game perbaiki secepatnya;0;netral
Seru sih seru. Tapi kenapa ya waktu main, ada aja tiba² frame, langsung mental keluar dari game? Untungnya masih bisa lanjut si, tapi repot juga kalau pas lagi ada musuh pasti mati kita. Mana waktu relog nya lumayan makan waktu ??. Masalahnya dimana nih?. Padahal sinyal bagus² aja, chace udh dibersihkan juga.;4;seru sih seru ya main aja tiba² frame langsung mental game untungnya si repot pas musuh mati relog nya lumayan makan dimana nih sinyal bagus² aja chace udh dibersihkan;0;netral
Parah banget update patch ini.. Pengalaman bermain tak semenarik biasanya. Dan display gamenya semakin berat mempengaruhi gerak didalam game nya. Padahal main sidah pake Wi-Fi tp ya tetap saja timbul kualitas grafis dan ping tidak begitu stabil!;2;parah banget update patch pengalaman bermain semenarik display gamenya berat mempengaruhi gerak didalam game nya main sidah pake wifi tp ya timbul kualitas grafis ping stabil;0;netral
Please lah buat bug voice nya di benerin lagi...contoh pas kita ngomong tim kita ga denger dan suara kita ga ada...and begitu juga dengan tim kita yang ngomong, kadang suka ga dengar suara tim...jadi di situ bisa merusak game play karna hilang nya komunikasi;5;please bug voice nya benerin lagicontoh pas ngomong tim ga denger suara ga adaand tim ngomong kadang suka ga dengar suara timjadi situ merusak game play karna hilang nya komunikasi;5719;positif
Setelah di update 2.9 kok blum jga di fix ya bugnya, masih ad beberapa masalah (force close tiba tiba, g bsa lari, bug gbisa jlan juga) tolonglah untuk di fix, menggangu banget.;2;update 29 blum jga fix ya bugnya ad force close g bsa lari bug gbisa jlan tolonglah fix menggangu banget;0;netral
sangat mengecewakan setelah update ke versi 0.12.0, banyak keluhan, lag dan bug di mana mana, padahal device yang aku pake vivo v11 pro, tolong di fix pihak dev, klo terus2 san begini player pubgm lama lama akan hilang, tolong secepatnya di fix, bug dan lag, terima kasih;4;mengecewakan update versi 0120 keluhan lag bug device pake vivo v11 pro tolong fix dev klo terus2 san player pubgm hilang tolong secepatnya fix bug lag terima kasih;-5859;negatif
"Perbaiki masalah jaringan terutama di dalam game, ketika sedang bermain tiba² ""SERVER TIDAK MERESPON, SILAHKAN COBA LAGI"" Setiap match selalu begitu, kadang sedang perang di luar selalu muncul notif begitu alhasil tiba² knock dan mati, perbaiki masalah jaringan, sudah menggunakan Wi-Fi masih lag, blok";1;perbaiki jaringan game bermain tiba² server merespon silahkan coba match kadang perang muncul notif alhasil tiba² knock mati perbaiki jaringan wifi lag blok;-34;negatif
Sering di update malah banyak masalah, bug dimana², baru mulai eh pas turun gak bisa lari hanya bisa jalan doang, tolong diperbaiki karena dulu gak ada bug beginian, kalo gak diperbaiki secepatnya maka pemain pubg pun akan semakin berkurang, karena saya kira hanya perangkat saya yang lemah ternyata banyak orang yang mengalami bug tersebut,mohon kerjasamanya diperbaiki sebaik mungkin!;1;update bug dimana² eh pas turun gak lari jalan doang tolong diperbaiki gak bug kalo gak diperbaiki secepatnya pemain pubg berkurang perangkat lemah orang mengalami bug tersebutmohon kerjasamanya diperbaiki;0;netral
Sekarang sering banget ngebug nya, udah sprint juga tetap lambat jalannya, ga 1 atau 2 kali aja, tapi sering banget, terus saya relog juga terkadang kembali normal lagi terkadang tetap sama, sprint malah jalan kayak bot, berat banget pergerakannya, tolong diperbaiki secepatnya.;1;banget ngebug nya udah sprint lambat jalannya ga 1 2 kali aja banget relog terkadang normal terkadang sprint jalan kayak bot berat banget pergerakannya tolong diperbaiki secepatnya;0;netral
Kok bug nya keterlaluan ya min? Data udah di download semua, tapi karakter, equipment, kendaraan, semuanya grafiknya kek kotak² kek minecraft cuma kotak nya lebih kecil, pasang HDR extreme pun tetap sama, sampe ke langit pun kotak-kotak ??;1;bug nya ya min data udah download karakter equipment kendaraan grafiknya kek kotak² kek minecraft kotak nya pasang hdr extreme sampe langit kotakkotak;0;netral
"Update oke banget, event lama beneran balik lagi. Cuma ini gatau cuma aku atau yang lainnya kena tapi disini aku ketemu masalah. Setiap kali buka shop, lobby dan inventory, bahkan semua elemen lobby jadi patah"" dan fps drop banget sampe paling rendah. Tolong di perbaiki dong atau mungkin penyesuaian. Device: infinix hot 10s";3;update oke banget event beneran gatau kena ketemu kali buka shop lobby inventory elemen lobby patah fps drop banget sampe rendah tolong perbaiki penyesuaian device infinix hot 10s;-2263;negatif
Saya suka game ini,tapi Saya sarankan agar loby nya dikembalikan seperti dulu,tombol start nya di bagian atas.dan yang terkahir adalah grafik nya dibuat seperti pubg lite.grafik nya sedikit gelap dan lebih berwarna.dan dibuat lebih seru lagi.;4;suka game initapi sarankan loby nya dikembalikan dulutombol start nya atasdan terkahir grafik nya pubg litegrafik nya gelap berwarnadan seru;0;netral
Gamenya bagus tapi saya kasi bintang 4 karena ada bug yang saya alami beberapa kali, yaitu ketika turun dari parasut tidak dapat mengambil senjata tapi peluru atau perlengkapan yang lain bisa diambil hanya senjata yang tak bisa di ambil, mohon di perbaiki bug nya karena saya udah beberapa kali mengalaminya dan sangat mempengaruhi poin saya. Terimakasih;4;gamenya bagus kasi bintang 4 bug alami kali turun parasut mengambil senjata peluru perlengkapan diambil senjata ambil mohon perbaiki bug nya udah kali mengalaminya mempengaruhi poin terimakasih;0;netral
ada beberapa yang harus diperbaiki 1. bug ketika mati tdk bisa spectate teman, tampilan hanya diam ditempat saja 2. bug fitur recall teman yang sedang mati, teman yg di recall selalu saja ngebug, bisa bangkit lagi tapi pemainnya ga bisa ngapa2in diam ditempat;5;diperbaiki 1 bug mati tdk spectate teman tampilan diam ditempat 2 bug fitur recall teman mati teman recall ngebug bangkit pemainnya ga ngapa2in diam ditempat;0;netral
Kepaksa deh saya turunin dulu jadi bintang 3. Masalah nya itu sebelum update 2.8, saya selalu main pake kuota data dan itu lancar lancar ajah. Tapi semenjak update 2.8, setiap maen pake data, selalu ajah game nya jadi patah patah, temen open mic suara nya putus putus dan ngelag. Tolong segera di perbaiki karena bener bener mengurangi kenyamanan bermain. Update rating jadi 5. Sekarang masalah sinyal ketika pake data sudah selesai. Terima Kasih;5;kepaksa deh turunin bintang 3 nya update 28 main pake kuota data lancar lancar ajah semenjak update 28 maen pake data ajah game nya patah patah temen open mic suara nya putus putus ngelag tolong perbaiki bener bener mengurangi kenyamanan bermain update rating 5 sinyal pake data selesai terima kasih;0;netral
Dari segi apapun sudah sangat bagus... Tapi dua hal yang harus diperhatikan.. Yaitu 1.server tiba tiba hilang padahal koneksi internet masih tersambung 2. Sering terjadi ngeclose (tiba tiba balik ke lobby setelah menaiki pesawat...;4;segi apapun bagus diperhatikan 1server hilang koneksi internet tersambung 2 ngeclose lobby pesawat;258;positif
Saya seringkali mengalami bug,yaitu bug ketika saya menarik untuk lari tetapi kok malah jadi jalan,saya juga seringkali mengalami bug jaringan,karakter cacat dan tidak bisa berlari saat di map livik Sekian terimakasih semoga cepat di perbaiki bug nya;4;seringkali mengalami bugyaitu bug menarik lari jalansaya seringkali mengalami bug jaringankarakter cacat berlari map livik sekian terimakasih semoga cepat perbaiki bug nya;0;netral
Maaf developer pubg ini updatetan dino sekarang ini makin banyak bug updatetan sebelumnya tidak seperti itu Saya juga sudah beberapa kali menghapus map yang sering sekali ngebug seperti metro royale. Jadi mohon diatasi masalah ini .untuk gamenya sih sangat direcommend bgt buat game tema battle royale. Jadi ini saja permintaan dan nilai dari saya sekian terima kasih.;4;maaf developer pubg updatetan dino bug updatetan kali menghapus map ngebug metro royale mohon diatasi gamenya sih direcommend bgt game tema battle royale permintaan nilai sekian terima kasih;-3818;negatif
Tolonglah tencen kasi keringanan setidaknya bisa mendapat fps yg stabil walaupun berbeda device kemampuan smarpon dengan player lain . Agar tetap lancar saat memainkan gamenya Dan perbaiki masalah musu dengan reng kami yang selalu mendapatkan player Sultan musunya. Yg tidak seimbang. Dan masalah kupon klasik yang selalu mendapatkan item sampa. Setidaknya bisa mendapatkan dua atau tiga senjata yang bisa agred. Karna saya uda lama main di pubg dan selalu mendapatkan item sampa.;2;tolonglah tencen kasi keringanan fps stabil berbeda device kemampuan smarpon player lancar memainkan gamenya perbaiki musu reng player sultan musunya seimbang kupon klasik item sampa senjata agred karna uda main pubg item sampa;0;netral
Pubgm semakin ke depan semakin burik, smakin berat, smakin bnyak bug dan smakin bnyak perubahan, udah gak keliatan original lagi kayak season 2018 dan yg sebelumnya. Sekarang malah keliatan kayak game ff, dari skin senjata. Baju. Emoj. Dan karakter terbaru pun hampir serupa dg karakter2 di game ff.. Hadehh tlong dong buat para tancent, jangan bikin perubahan yg menimbulkan banyak bug, dan bikin pubgm original kayak dulu lagi??;1;pubgm burik smakin berat smakin bnyak bug smakin bnyak perubahan udah gak keliatan original kayak season 2018 keliatan kayak game ff skin senjata baju emoj karakter terbaru dg karakter2 game ff hadehh tlong tancent bikin perubahan menimbulkan bug bikin pubgm original kayak;8481;positif
Tolong perbaiki bug yg meresahkan jgn cuma sekedar update untuk event saja. Terutama bug sprint,dimana karakter gak bisa berlari . Sering bgt saya kena bug sprint low.udh tap sprint berasa jalan biasa;3;tolong perbaiki bug meresahkan jgn sekedar update event bug sprintdimana karakter gak berlari bgt kena bug sprint lowudh tap sprint berasa jalan;0;netral
Skate board terbang nya gak bisa di setting tombol lompat sama maju nya, kerna denpet, dari awal nyari settingan nya gak ketemu ketemu juga, di pengaturan kendaraan juga gak ada...???, jadi gak seru main di even, tetap aja main yg biasa;5;skate board terbang nya gak setting tombol lompat maju nya kerna denpet nyari settingan nya gak ketemu ketemu pengaturan kendaraan gak gak seru main even aja main;0;netral
"Pubgi sekarang terlalu berat ,terlalu banyak event dan terlalu berat di penyimpanan sampe"" pengguna Hp di ram 3Gb/4Gb susah untuk bermain secara normal ,tolonglah tencent beri kami ruang keringanan untuk pengguna hp kentang ,apalagi saat ada musuh framdrop nya gk main"" dan jaringan pun langsung jumping(naik turun) ,Kami rindu pubgi yang dlu, yang bisa di mainkan di smua android tanpa harus takut framdrop dan kendala ping yang naik turun saat bermain ??";2;pubgi berat event berat penyimpanan sampe pengguna hp ram 3gb4gb susah bermain normal tolonglah tencent ruang keringanan pengguna hp kentang musuh framdrop nya main jaringan langsung jumpingnaik turun rindu pubgi dlu mainkan smua android takut framdrop kendala ping turun bermain;0;netral
Makin lama makin ancur..patch terbaru main makin berat..gerakan kayak gk seperti biasa nya..ngelag..ping gak stabil..step gak kedengaran tau2 mati aja ama musuh d depan..event terus tp kepuasan bermain player di acuh kan..tiap log in pasti ada yg di download tp sama aja bug dimana mana..;1;ancurpatch terbaru main beratgerakan kayak nyangelagping gak stabilstep gak kedengaran tau2 mati aja ama musuh d depanevent tp kepuasan bermain player acuh kantiap log in download tp aja bug dimana;0;netral
Apa ni kendala jaringan mulu. Padahal pakai wifi. Main dari season 4 makin update makin gak jelas. Masalah nya cuman 1 main yg lain jaringan bagus. Gililiran buka pubg jaringan tidak stabil. Tidak stabil dari mana nya cobak.?;1;ni kendala jaringan mulu pakai wifi main season 4 update gak nya cuman 1 main jaringan bagus gililiran buka pubg jaringan stabil stabil nya cobak;0;netral
Terimakasih sebelum nya karna sudah menciptakan game bagus dengan grafik bagus, cuma saya ingin mengajukan kesan saya terhadap game, sangat bagus dan jelas, cuma ketika dalam game saat berkendara/berhadapan player lain sering terjadinya frame sehingga kami tidak bisa berbuat apa apa, terimakasih.. semangat terus!!;4;terimakasih nya karna menciptakan game bagus grafik bagus mengajukan kesan game bagus game berkendaraberhadapan player frame berbuat terimakasih semangat;0;netral
maaf,mohon di respon & di tanggapi, di season terbaru 12 ini, saya masih sering mengalami lag, gerak macet macet disaat saat genting berhadapan dengan squad musuh, padahal server jaringan dalam kondisi hijau baik, memory handphone jg masih lega banget, saya jadi tidak bisa bermain dengan maksimal lag, gerak macet & patah2 masih sering dialami saat bertemu squad lawan dan saat pesawat airdrop lewat ini lumayan mengganggu mohon ada perbaikan;4;maafmohon respon tanggapi season terbaru 12 mengalami lag gerak macet macet disaat genting berhadapan squad musuh server jaringan kondisi hijau memory handphone jg lega banget bermain maksimal lag gerak macet patah2 dialami bertemu squad lawan pesawat airdrop lumayan mengganggu mohon perbaikan;-5859;negatif
Tolong lah perbaiki bug gak bisa lari nya. Setiap main di livik bug gak bisa lari teruss... Setiap turun pasti bug lgi dan lagi, udh relog tetep ja bug teruss... Mati konyol terus, Hp udh Ram 8+8 tetep ja bug gak bisa lari alias lambat ?????? udh ngerasaiin S2 terakhir ini tetep ja masalah di bug gak bisa lari.;2;tolong perbaiki bug gak lari nya main livik bug gak lari teruss turun bug lgi udh relog tetep ja bug teruss mati konyol hp udh ram 88 tetep ja bug gak lari alias lambat udh ngerasaiin s2 tetep ja bug gak lari;0;netral
Seruu!! Tapi ada satu yang kurang... 90fps masih belum bisa dibuka di hape spek ram diatas 8 bahkan ram hape saya 12+8 + mediatech holio g99 masih belum bisa tebuka... Malahan cuma bisa sampai ultra!!.. Tolonglah pubg perbaiki masalah grafis statistik;5;seruu 90fps dibuka hape spek ram diatas 8 ram hape 128 mediatech holio g99 tebuka ultra tolonglah pubg perbaiki grafis statistik;0;netral
Pubg tolong perbaiki sistem ban , banyak player gunain apk tambahan tapi gak kena ban , adapun player mengunakan cheat speed boost tapi gak terdeteksi. Perbaiki juga bugnya karakter yg cacat dan gerakan melambat dlm pertandingan. Tolong sesuaiin rekan tim saat di matching tolong di samakan dgn region dan server.......;1;pubg tolong perbaiki sistem ban player gunain apk tambahan gak kena ban player mengunakan cheat speed boost gak terdeteksi perbaiki bugnya karakter cacat gerakan melambat dlm pertandingan tolong sesuaiin rekan tim matching tolong samakan dgn region server;-8176;negatif
Banyak bug, event hilang dan muncul,lalu hilang lagi, ada event tapi tidak bisa di buka, notifikasi event belum dimulai. Tolong perbaiki. Banyak cheat, setiap awal pembaruan.event zombie treasure hilang... Lucky spin Dodge car skin tidak bisa di buka?? Why?;1;bug event hilang muncullalu hilang event buka notifikasi event tolong perbaiki cheat pembaruanevent zombie treasure hilang lucky spin dodge car skin buka why;25;positif
Admin ini tolong di game nya di perbaiki, saya kurang tau juga antara bug atau memang fitur nya begi, kalo ada suara step musuh atau tembakan, Sura nya kebalik, misal nya step musuh nya dari kiri kedengaran nya di kanak, gitu jua sebaliknya, step nya di depan suara nya di belakang, tolong admin segera di perbaiki, karna ini sangat menggangu dan merugikan pemain, terima kasih.;2;admin tolong game nya perbaiki tau bug fitur nya begi kalo suara step musuh tembakan sura nya kebalik nya step musuh nya kiri kedengaran nya kanak gitu jua step nya suara nya tolong admin perbaiki karna menggangu merugikan pemain terima kasih;0;netral
tolong untuk setiap update jangan semua harus update, dari skin sampai maps, jadi jika skin sudah terdownload pada sebelum nya pada update selanjutnya jangan tidak perlu mendownload lagi. ini hanya akan menguras banyak data. sediakan update hanya untuk item atau maps yang di rubah saja.;3;tolong update update skin maps skin terdownload nya update mendownload menguras data sediakan update item maps rubah;0;netral
Season 1 - 20 adalah versi terbaiknya pubg, selebihnya sangat mengecewakan (sangat tidak relevan dengan adanya mode bertema), dan pembaruan yang terlalu besar dalam penggunaan ruang memori (khususnya untuk android ram 4), Sangat tidak menyenangkan pubg di masa sekarang (2023).;1;season 1 20 versi terbaiknya pubg selebihnya mengecewakan relevan mode bertema pembaruan penggunaan ruang memori android ram 4 menyenangkan pubg 2023;0;netral
Setelah Berganti device, bug cukup berkurang (game gak ramah buat hp low end), tapi tetap saja ada beberapa bug contohnya saat kita mau landing kadang pas sampai atap terpental dan knock, Sudah Pakai WiFi main game lain seperti mobile legend bisa sampai 9ms tetapi di pubg mobile cuman sampai 20-35ms padahal sudah memakai server asia, dan juga kerap bertemu Cheater pada rank Platinum -ace, setelah naik ke ace dominator sudsh berkurang banyak tpi tetap saja kesal karena bertemu cheater di rank;1;berganti device bug berkurang game gak ramah hp low end bug contohnya landing kadang pas atap terpental knock pakai wifi main game mobile legend 9ms pubg mobile cuman 2035ms memakai server asia kerap bertemu cheater rank platinum ace ace dominator sudsh berkurang tpi kesal bertemu cheater rank;-8442;negatif
"Setelah update malah tidak bisa masuk harap tunggu beberapa detik namun nunggu sampai beberapa detik tetap tidak bisa masuk padahal jaringan stabil aja, saya mencoba masuk game Undawn tidak ada masalah aman"" aja.";4;update masuk harap tunggu detik nunggu detik masuk jaringan stabil aja mencoba masuk game undawn aman aja;0;netral
